Mes,2015,2016,2017,2020,2021,2022,2023,2024,2025
1,21.0,22.4,25.2,23.2,23.4,23.3,24.9,24.5,23.3
2,23.0,24.3,25.8,25.1,26.2,24.2,26.3,27.3,25.8
3,23.4,27.8,25.7,28.5,28.7,27.8,28.9,30.4,28.8
4,27.3,30.1,29.0,30.8,29.5,29.8,29.1,30.7,29.9
5,28.6,31.3,31.9,29.7,29.3,31.3,28.9,34.7,31.2
6,27.2,28.1,30.6,27.9,26.1,27.4,32.0,29.9,26.5
7,27.2,27.7,27.4,28.6,26.1,27.9,29.1,26.9,27.58
8,28.0,28.0,29.2,26.7,26.1,28.1,28.7,27.4,27.58
9,24.8,27.3,26.3,26.0,25.3,25.3,30.2,26.8,27.58
10,26.1,26.0,25.5,25.8,26.0,25.7,27.2,24.4,27.58
11,24.9,23.3,26.3,23.7,23.2,25.3,24.9,26.5,27.58
12,23.1,24.8,24.4,23.0,24.9,23.1,21.0,23.5,27.58
