Mes,2015,2016,2017,2020,2021,2022,2023,2024,2025
1,20.0,22.3,24.7,23.5,23.5,21.8,25.8,21.9,20.5
2,22.3,26.4,29.3,24.6,25.3,22.6,27.1,26.5,27.2
3,23.1,29.2,28.9,30.4,29.1,28.7,30.4,29.1,31.6
4,28.8,31.1,31.7,31.6,32.0,32.8,29.5,32.7,33.5
5,30.7,32.5,33.3,33.1,33.2,36.0,30.7,37.6,34.5
6,32.1,33.5,35.8,33.3,33.9,36.2,37.6,35.5,33.9
7,35.0,37.0,34.6,35.1,32.5,36.8,37.8,32.2,30.2
8,36.0,34.9,35.7,34.7,34.5,35.8,37.9,34.9,30.2
9,33.1,33.1,32.6,30.9,33.4,31.2,37.2,31.6,30.2
10,30.4,30.3,28.5,31.3,30.9,28.3,30.1,29.7,30.2
11,25.6,26.1,27.1,27.7,25.6,25.1,24.6,28.4,30.2
12,24.3,23.6,21.5,22.9,27.3,23.3,21.5,25.0,30.2
