Cultivo,Temp. Opt. Mín. (°C),Temp. Opt. Máx. (°C),Temp. Recomendada (°C)_valor_mínimo,Temp. Recomendada (°C)_valor_máximo,Lluvia Óptima (mm)_valor_mínimo,Lluvia Óptima (mm)_valor_máximo,Humedad Ambiental (%)_valor_mínimo,Humedad Ambiental (%)_valor_máximo,Humedad Suelo (%)_valor_mínimo,Humedad Suelo (%)_valor_máximo,Temp. Recomendada (°C)_valor_promedio,Lluvia Óptima (mm)_valor_promedio,Humedad Ambiental (%)_valor_promedio,Humedad Suelo (%)_valor_promedio
Agave,20,34,27,30,700,800,50,65,45,55,28.5,750.0,57.5,50.0
Aguacate,12,30,20,24,1000,1200,70,85,65,75,22.0,1100.0,77.5,70.0
Ajo,12,25,15,20,250,350,50,60,50,60,17.5,300.0,55.0,55.0
Ajonjolí,20,32,24,28,400,500,60,75,55,65,26.0,450.0,67.5,60.0
Alfalfa,10,28,15,22,400,600,55,70,65,80,18.5,500.0,62.5,72.5
Amaranto,18,32,22,28,500,700,65,75,65,75,25.0,600.0,70.0,70.0
Arroz palay,18,32,24,28,1000,1200,85,95,90,100,26.0,1100.0,90.0,95.0
Avena forrajera en verde,8,25,13,18,400,500,60,75,65,80,15.5,450.0,67.5,72.5
Avena grano,8,25,13,18,350,450,60,70,65,75,15.5,400.0,65.0,70.0
Berenjena,20,32,24,28,500,700,65,75,65,75,26.0,600.0,70.0,70.0
Brócoli,12,26,16,22,500,700,70,80,70,80,19.0,600.0,75.0,75.0
Cacao,20,32,24,26,1500,1800,80,90,75,85,25.0,1650.0,85.0,80.0
Café cereza,18,28,21,24,600,800,75,85,70,80,22.5,700.0,80.0,75.0
Calabacita,18,32,22,28,500,700,65,75,65,75,25.0,600.0,70.0,70.0
Caña de azúcar,20,35,25,30,800,1000,75,85,75,85,27.5,900.0,80.0,80.0
Cebada grano,8,26,13,20,300,450,60,70,65,75,16.5,375.0,65.0,70.0
Cebolla,12,30,18,24,300,500,55,65,60,70,21.0,400.0,60.0,65.0
Chile verde,20,34,24,30,600,800,70,80,65,80,27.0,700.0,75.0,72.5
Copra,22,34,26,30,1200,1600,80,90,75,85,28.0,1400.0,85.0,80.0
Crisantemo,15,28,18,25,400,500,65,75,65,75,21.5,450.0,70.0,70.0
Cártamo,12,30,18,24,300,500,55,65,60,70,21.0,400.0,60.0,65.0
Durazno,8,28,15,22,600,800,65,75,65,80,18.5,700.0,70.0,72.5
Elote,16,34,22,28,700,900,65,75,65,80,25.0,800.0,70.0,72.5
Espárrago,12,28,18,24,500,700,65,75,65,80,21.0,600.0,70.0,72.5
Frambuesa,10,25,15,20,600,800,70,80,70,85,17.5,700.0,75.0,77.5
Fresa,8,24,13,20,600,800,70,80,70,85,16.5,700.0,75.0,77.5
Frijol,16,32,20,26,500,700,65,75,65,75,23.0,600.0,70.0,70.0
Garbanzo grano,12,30,18,24,400,600,60,70,60,75,21.0,500.0,65.0,67.5
Gladiola,15,28,20,25,400,500,65,75,65,75,22.5,450.0,70.0,70.0
Guayaba,15,35,23,28,1000,1200,75,85,70,80,25.5,1100.0,80.0,75.0
Lechuga,8,24,14,20,400,500,70,80,70,80,17.0,450.0,75.0,75.0
