Cultivo,Fase,Temp. Opt. Mín. (°C),Temp. Recomendada (°C),Temp. Opt. Máx. (°C),Lluvia Óptima (mm),Humedad Ambiental (%),Humedad Suelo (%),Fuente URL
Agave,Floración,20,27-30,34,700-800,50-65,45-55,https://cienciasagricolas.inifap.gob.mx - Caracterización agroclimática del cultivo de Agave
Aguacate,Floración,12,20-24,30,1000-1200,70-85,65-75,https://mexico.infoagro.com - Requerimientos edafoclimáticos del cultivo
Ajo,Floración,12,15-20,25,250-350,50-60,50-60,https://horticulturaar.com.ar - Fenología y producción del ajo
Ajonjolí,Floración,20,24-28,32,400-500,60-75,55-65,INIFAP - Datos climáticos agrícolas
Alfalfa,Floración,10,15-22,28,400-600,55-70,65-80,INIFAP - Requerimientos de cultivos forrajeros
Amaranto,Floración,18,22-28,32,500-700,65-75,65-75,https://vun.inifap.gob.mx - Agenda Técnica
Arroz palay,Floración,18,24-28,32,1000-1200,85-95,90-100,https://vun.inifap.gob.mx - Agenda Técnica del Cultivo de Arroz
Avena forrajera en verde,Floración,8,13-18,25,400-500,60-75,65-80,https://agroecologiatornos.com - La guía definitiva de los cereales de invierno
Avena grano,Floración,8,13-18,25,350-450,60-70,65-75,https://agroecologiatornos.com - La guía definitiva de los cereales de invierno
Berenjena,Floración,20,24-28,32,500-700,65-75,65-75,INIFAP - Manual técnico para la producción de hortalizas
Brócoli,Floración,12,16-22,26,500-700,70-80,70-80,https://vun.inifap.gob.mx - Manual técnico para la producción de hortalizas
Cacao,Floración,20,24-26,32,1500-1800,80-90,75-85,https://espacioimasd.unach.mx - Manejo agroecológico de la nutrición; https://scielo.sa.cr - Factores climáticos en el desarrollo y producción de cacao
Café cereza,Floración,18,21-24,28,600-800,75-85,70-80,INIFAP - Requerimientos climáticos de café
Calabacita,Floración,18,22-28,32,500-700,65-75,65-75,INIFAP - Guía de hortalizas
Caña de azúcar,Floración,20,25-30,35,800-1000,75-85,75-85,https://fira.gob.mx - Producción Sostenible de Caña de Azúcar
Cebada grano,Floración,8,13-20,26,300-450,60-70,65-75,https://eos.com - Cultivo De Cebada
Cebolla,Floración,12,18-24,30,300-500,55-65,60-70,INIFAP - Guía de hortalizas
Chile verde,Floración,20,24-30,34,600-800,70-80,65-80,INIFAP - Requerimientos de chile
Copra,Floración,22,26-30,34,1200-1600,80-90,75-85,INIFAP - Cultivos tropicales
Crisantemo,Floración,15,18-25,28,400-500,65-75,65-75,https://es.scribd.com - Cultivo Del Crisantemo
Cártamo,Floración,12,18-24,30,300-500,55-65,60-70,INIFAP - Cultivos de ciclo invierno
Durazno,Floración,8,15-22,28,600-800,65-75,65-80,INIFAP - Cultivos frutales
Elote,Floración,16,22-28,34,700-900,65-75,65-80,INIFAP - Maíz forrajero
Espárrago,Floración,12,18-24,28,500-700,65-75,65-80,INIFAP - Hortalizas especializadas
Frambuesa,Floración,10,15-20,25,600-800,70-80,70-85,INIFAP - Cultivos de berries
Fresa,Floración,8,13-20,24,600-800,70-80,70-85,https://proain.com - PRODUCCIÓN DE FRESA
Frijol,Floración,16,20-26,32,500-700,65-75,65-75,https://eos.com - Cultivo De Frijol
Garbanzo grano,Floración,12,18-24,30,400-600,60-70,60-75,INIFAP - Leguminosas de grano
Gladiola,Floración,15,20-25,28,400-500,65-75,65-75,https://es.scribd.com - Requerimientos Agroecológicos de Cultivos
Guayaba,Floración,15,23-28,35,1000-1200,75-85,70-80,https://undp.org - INSTRUCTIVO TÉCNICO para el cultivo del guayabo
